City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Ribeira Grande,PT,2021-05-27 02:30:12,38.5167,-28.7,59.41,69,95,14.83
68,Kruisfontein,ZA,2021-05-27 02:30:13,-34.0033,24.7314,53.17,80,92,6.67
69,Sakakah,SA,2021-05-27 02:28:49,29.9697,40.2064,74.77,17,0,6.33
70,Kapaa,US,2021-05-27 02:28:25,22.0752,-159.319,82.11,71,40,1.99
71,Ondjiva,AO,2021-05-27 02:30:13,-17.0667,15.7333,52.74,54,0,6.33
72,Cidreira,BR,2021-05-27 02:27:45,-30.1811,-50.2056,57.07,74,100,6.87
73,Haines Junction,CA,2021-05-27 02:30:14,60.7522,-137.5108,57.15,33,65,10.36
74,Jamestown,US,2021-05-27 02:30:10,42.097,-79.2353,63.72,83,75,1.99
75,Mamakan,RU,2021-05-27 02:30:14,57.8161,114.0028,61.95,36,93,3.85
76,Pringsewu,ID,2021-05-27 02:30:15,-5.3582,104.9744,86.67,66,88,6.17
77,Guerrero Negro,MX,2021-05-27 02:29:55,27.9769,-114.0611,63.88,77,41,16.73
78,Bull Savanna,JM,2021-05-27 02:30:15,17.8868,-77.5902,76.1,87,30,5.75
79,Kawhia,NZ,2021-05-27 02:30:15,-38.0651,174.8183,64.38,60,0,4.76
80,Rio Grande,BR,2021-05-27 02:30:16,-32.035,-52.0986,55.78,77,67,10.31
81,Bredasdorp,ZA,2021-05-27 02:28:26,-34.5322,20.0403,51.28,93,100,4.09
82,Moose Factory,CA,2021-05-27 02:30:16,51.2585,-80.6094,33.8,86,90,10.36
83,Virginia Beach,US,2021-05-27 02:30:09,36.8529,-75.978,84.27,58,40,11.5
84,Limbang,MY,2021-05-27 02:30:17,4.75,115.0,89.71,54,13,3.15
85,Kodiak,US,2021-05-27 02:30:17,57.79,-152.4072,54.91,62,1,6.91
86,Georgetown,MY,2021-05-27 02:30:18,5.4112,100.3354,78.75,95,40,3.0
87,Amazar,RU,2021-05-27 02:30:18,53.858,120.875,42.85,87,100,1.88
88,Belmonte,BR,2021-05-27 02:30:18,-15.8631,-38.8828,72.1,79,0,3.04
89,Sahuaripa,MX,2021-05-27 02:30:18,29.05,-109.2333,83.41,11,100,5.57
90,Narsipatnam,IN,2021-05-27 02:30:19,17.6667,82.6167,93.88,26,100,4.34
91,Kholm-Zhirkovskiy,RU,2021-05-27 02:30:19,55.5189,33.4731,48.7,89,17,3.38
92,Edgewater,US,2021-05-27 02:30:20,28.9889,-80.9023,78.3,73,1,9.22
93,Newport,GB,2021-05-27 02:27:12,51.5877,-2.9984,48.67,89,1,3.47
94,Copala,MX,2021-05-27 02:30:20,16.65,-98.9833,82.47,65,95,1.07
95,Barrow,US,2021-05-27 02:27:36,71.2906,-156.7887,35.62,69,90,13.8
96,San Quintin,MX,2021-05-27 02:28:08,30.4833,-115.95,61.93,81,100,12.46
97,Mar Del Plata,AR,2021-05-27 02:29:10,-38.0023,-57.5575,55.13,50,0,5.01
98,Hamilton,US,2021-05-27 02:29:22,39.1834,-84.5333,70.38,93,40,1.01
99,Port Elizabeth,ZA,2021-05-27 02:30:21,-33.918,25.5701,53.89,87,0,5.75
100,Melipilla,CL,2021-05-27 02:30:22,-33.7,-71.2167,69.76,47,0,1.32
101,Corinto,GR,2021-05-27 02:30:22,37.9407,22.9573,73.76,69,0,5.37
102,Victoria,HK,2021-05-27 02:25:31,22.2855,114.1577,91.33,73,47,1.01
103,Kamina,CD,2021-05-27 02:30:22,-8.7386,24.9906,55.67,61,1,4.03
104,Turbat,PK,2021-05-27 02:30:23,26.0023,63.044,93.42,37,0,2.53
105,Bosobolo,CD,2021-05-27 02:30:23,4.1833,19.9,69.19,99,97,2.51
106,Kovylkino,RU,2021-05-27 02:30:23,54.0388,43.9139,56.5,80,0,5.44
107,Moron,AR,2021-05-27 02:28:18,-34.6534,-58.6198,60.91,84,2,6.46
108,Pout,SN,2021-05-27 02:30:24,14.7739,-17.0603,70.56,88,5,10.4
109,Otane,NZ,2021-05-27 02:30:24,-39.8833,176.6333,57.38,59,57,3.98
110,Takoradi,GH,2021-05-27 02:30:24,4.8845,-1.7554,78.91,88,97,6.62
111,Port Alfred,ZA,2021-05-27 02:28:42,-33.5906,26.891,61.16,86,76,7.99
112,Anadyr,RU,2021-05-27 02:28:55,64.75,177.4833,54.1,37,0,35.01
113,Vaini,TO,2021-05-27 02:30:25,-21.2,-175.2,78.96,73,20,11.5
114,Dwarka,IN,2021-05-27 02:30:26,22.2394,68.9678,84.9,76,92,17.11
115,Pevek,RU,2021-05-27 02:30:26,69.7008,170.3133,33.35,90,15,1.97
116,Baykit,RU,2021-05-27 02:30:26,61.67,96.37,46.18,58,47,4.18
117,Coihaique,CL,2021-05-27 02:30:27,-45.5752,-72.0662,44.55,93,90,6.91
118,Seoul,KR,2021-05-27 02:27:31,37.5683,126.9778,62.11,88,90,9.82
